GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,AIUXE001,AIUXE002,AIUXE003,AIUXE004,AIUXE005,AIUXE006,AIUXE007,AIUXE008,AIUXE009,AIUXE010,NAME_M,AIUXM001,AIUXM002,AIUXM003,AIUXM004,AIUXM005,AIUXM006,AIUXM007,AIUXM008,AIUXM009,AIUXM010
"G11098","2018",,,"District of Columbia","11",,,,,,,,,,,,,"98",,,,,"Delegate District (at Large) (116th Congress), District of Columbia",702455,296747,319777,1932,27538,397,30897,25167,3722,21445,"Delegate District (at Large) (116th Congress), District of Columbia",0,4449,4282,589,1377,171,5312,2776,1305,2461
"G12001","2018",,,"Florida","12",,,,,,,,,,,,,"01",,,,,"Congressional District 1 (116th Congress), Florida",784532,601815,106063,4133,22245,1815,14200,34261,3433,30828,"Congressional District 1 (116th Congress), Florida",1160,3861,4148,1069,2026,1288,2998,4369,1286,4131
"G12002","2018",,,"Florida","12",,,,,,,,,,,,,"02",,,,,"Congressional District 2 (116th Congress), Florida",733749,587260,92184,3345,12107,579,15539,22735,2837,19898,"Congressional District 2 (116th Congress), Florida",7486,7391,4857,1083,2265,358,5007,3898,1826,3597
"G12003","2018",,,"Florida","12",,,,,,,,,,,,,"03",,,,,"Congressional District 3 (116th Congress), Florida",758275,565612,127519,1709,25902,426,11718,25389,1856,23533,"Congressional District 3 (116th Congress), Florida",8925,9060,6156,582,1952,386,3913,4428,941,4341
"G12004","2018",,,"Florida","12",,,,,,,,,,,,,"04",,,,,"Congressional District 4 (116th Congress), Florida",819177,662790,74267,2692,36847,65,15921,26595,2282,24313,"Congressional District 4 (116th Congress), Florida",12926,10877,7625,1204,4324,117,5193,4421,1049,4500
"G12005","2018",,,"Florida","12",,,,,,,,,,,,,"05",,,,,"Congressional District 5 (116th Congress), Florida",738862,331585,351034,2734,20493,344,9945,22727,2203,20524,"Congressional District 5 (116th Congress), Florida",15538,11301,9283,872,4293,451,2969,3542,1260,3326
"G12006","2018",,,"Florida","12",,,,,,,,,,,,,"06",,,,,"Congressional District 6 (116th Congress), Florida",781896,641307,82045,2596,14167,120,28067,13594,960,12634,"Congressional District 6 (116th Congress), Florida",8360,10556,4291,829,1595,201,5784,3451,529,3438
"G12007","2018",,,"Florida","12",,,,,,,,,,,,,"07",,,,,"Congressional District 7 (116th Congress), Florida",786041,583016,87476,1127,42337,619,46104,25362,4704,20658,"Congressional District 7 (116th Congress), Florida",13741,10615,6027,725,4035,742,8076,4915,2499,3944
"G12008","2018",,,"Florida","12",,,,,,,,,,,,,"08",,,,,"Congressional District 8 (116th Congress), Florida",768139,639295,72300,2505,16407,875,7354,29403,2022,27381,"Congressional District 8 (116th Congress), Florida",3024,5382,4305,1264,2332,383,2685,5487,1058,5242
"G12009","2018",,,"Florida","12",,,,,,,,,,,,,"09",,,,,"Congressional District 9 (116th Congress), Florida",902812,670309,111993,2464,27123,16,58851,32056,7920,24136,"Congressional District 9 (116th Congress), Florida",20446,19171,8533,1206,3518,29,9231,6103,2668,5119
"G12010","2018",,,"Florida","12",,,,,,,,,,,,,"10",,,,,"Congressional District 10 (116th Congress), Florida",839504,479216,237772,3835,41302,930,49281,27168,4789,22379,"Congressional District 10 (116th Congress), Florida",18537,15875,8364,3331,4463,765,9373,4615,2189,4044
"G12011","2018",,,"Florida","12",,,,,,,,,,,,,"11",,,,,"Congressional District 11 (116th Congress), Florida",789849,693614,55539,2713,8909,31,10931,18112,2057,16055,"Congressional District 11 (116th Congress), Florida",13261,12436,6999,1436,1828,63,3352,4009,1095,3773
"G12012","2018",,,"Florida","12",,,,,,,,,,,,,"12",,,,,"Congressional District 12 (116th Congress), Florida",792410,686843,38884,2834,20897,588,16698,25666,2748,22918,"Congressional District 12 (116th Congress), Florida",7591,8913,3150,850,2251,495,3999,3633,960,3333
"G12013","2018",,,"Florida","12",,,,,,,,,,,,,"13",,,,,"Congressional District 13 (116th Congress), Florida",735935,580519,91631,2073,26641,756,9233,25082,3464,21618,"Congressional District 13 (116th Congress), Florida",7767,7314,3753,848,2447,390,2549,4223,1430,3959
"G12014","2018",,,"Florida","12",,,,,,,,,,,,,"14",,,,,"Congressional District 14 (116th Congress), Florida",782973,531821,140825,1824,35850,0,32896,39757,7797,31960,"Congressional District 14 (116th Congress), Florida",14164,13750,8313,832,3583,229,5519,5191,2719,4732
"G12015","2018",,,"Florida","12",,,,,,,,,,,,,"15",,,,,"Congressional District 15 (116th Congress), Florida",808723,598144,127840,3034,24983,379,27821,26522,5411,21111,"Congressional District 15 (116th Congress), Florida",20744,17242,11768,1084,4213,399,6960,4309,2525,3583
"G12016","2018",,,"Florida","12",,,,,,,,,,,,,"16",,,,,"Congressional District 16 (116th Congress), Florida",852096,709176,75971,2196,19208,480,25385,19680,2694,16986,"Congressional District 16 (116th Congress), Florida",13146,11971,7261,1065,2769,409,5054,3383,925,3348
"G12017","2018",,,"Florida","12",,,,,,,,,,,,,"17",,,,,"Congressional District 17 (116th Congress), Florida",789236,680864,56190,1324,10685,497,22463,17213,1922,15291,"Congressional District 17 (116th Congress), Florida",13581,13907,7145,593,2605,452,5077,3797,1213,3701
"G12018","2018",,,"Florida","12",,,,,,,,,,,,,"18",,,,,"Congressional District 18 (116th Congress), Florida",780772,611308,104795,381,17963,525,21936,23864,5049,18815,"Congressional District 18 (116th Congress), Florida",10481,9590,7388,434,2336,444,5046,5487,2361,4723
"G12019","2018",,,"Florida","12",,,,,,,,,,,,,"19",,,,,"Congressional District 19 (116th Congress), Florida",836359,711481,67922,1118,15582,491,29364,10401,2335,8066,"Congressional District 19 (116th Congress), Florida",13306,12473,5040,486,1652,296,6588,2309,1188,1787
"G12020","2018",,,"Florida","12",,,,,,,,,,,,,"20",,,,,"Congressional District 20 (116th Congress), Florida",809153,295544,434883,849,25202,1087,24194,27394,3983,23411,"Congressional District 20 (116th Congress), Florida",13616,14168,14975,498,5365,877,5609,5371,1691,4939
"G12021","2018",,,"Florida","12",,,,,,,,,,,,,"21",,,,,"Congressional District 21 (116th Congress), Florida",785042,601527,120536,2249,22923,441,19391,17975,3555,14420,"Congressional District 21 (116th Congress), Florida",11791,12157,9799,1375,2999,436,5070,3192,1748,3046
"G12022","2018",,,"Florida","12",,,,,,,,,,,,,"22",,,,,"Congressional District 22 (116th Congress), Florida",753363,575793,111541,1591,22493,446,21940,19559,2579,16980,"Congressional District 22 (116th Congress), Florida",10621,13973,9908,777,4059,434,4669,5059,1175,4859
"G12023","2018",,,"Florida","12",,,,,,,,,,,,,"23",,,,,"Congressional District 23 (116th Congress), Florida",756447,533202,110474,3817,35644,710,43865,28735,5894,22841,"Congressional District 23 (116th Congress), Florida",8875,15505,11811,1746,5154,427,8837,5502,1901,4693
"G12024","2018",,,"Florida","12",,,,,,,,,,,,,"24",,,,,"Congressional District 24 (116th Congress), Florida",784469,337035,371721,354,11669,112,48308,15270,4481,10789,"Congressional District 24 (116th Congress), Florida",19182,16404,11738,478,3355,205,8085,3629,1599,2930
"G12025","2018",,,"Florida","12",,,,,,,,,,,,,"25",,,,,"Congressional District 25 (116th Congress), Florida",775326,697177,36179,1050,8252,0,22569,10099,3759,6340,"Congressional District 25 (116th Congress), Florida",15148,16050,4793,327,2454,229,5015,3195,2071,2153
"G12026","2018",,,"Florida","12",,,,,,,,,,,,,"26",,,,,"Congressional District 26 (116th Congress), Florida",790373,624225,87276,5058,12069,509,45302,15934,4455,11479,"Congressional District 26 (116th Congress), Florida",16539,17730,8707,4035,2687,457,8538,3291,1927,2815
"G12027","2018",,,"Florida","12",,,,,,,,,,,,,"27",,,,,"Congressional District 27 (116th Congress), Florida",763812,669096,35881,265,15734,0,29464,13372,3078,10294,"Congressional District 27 (116th Congress), Florida",16464,16368,5206,242,2654,229,6917,2841,1332,2473
"G13001","2018",,,"Georgia","13",,,,,,,,,,,,,"01",,,,,"Congressional District 1 (116th Congress), Georgia",744385,467721,217918,1520,11663,3137,13521,28905,3526,25379,"Congressional District 1 (116th Congress), Georgia",4981,5926,4736,537,1626,2129,3722,4309,1441,3809
"G13002","2018",,,"Georgia","13",,,,,,,,,,,,,"02",,,,,"Congressional District 2 (116th Congress), Georgia",665539,281955,340276,1289,7641,540,13586,20252,4119,16133,"Congressional District 2 (116th Congress), Georgia",7079,5365,6449,580,1812,462,2391,3373,1521,3623
"G13003","2018",,,"Georgia","13",,,,,,,,,,,,,"03",,,,,"Congressional District 3 (116th Congress), Georgia",740700,499401,188551,3992,16496,894,14394,16972,2665,14307,"Congressional District 3 (116th Congress), Georgia",9410,8227,8589,2305,1924,1163,4301,3532,1664,3192
"G13004","2018",,,"Georgia","13",,,,,,,,,,,,,"04",,,,,"Congressional District 4 (116th Congress), Georgia",785104,210961,472419,1285,49178,2848,31949,16464,1834,14630,"Congressional District 4 (116th Congress), Georgia",19145,10567,14296,694,6300,3197,6593,3495,953,3489
"G13005","2018",,,"Georgia","13",,,,,,,,,,,,,"05",,,,,"Congressional District 5 (116th Congress), Georgia",793039,251276,466017,1970,30640,510,19305,23321,2787,20534,"Congressional District 5 (116th Congress), Georgia",13915,10312,16045,1067,3655,655,4278,3659,1135,3477
"G13006","2018",,,"Georgia","13",,,,,,,,,,,,,"06",,,,,"Congressional District 6 (116th Congress), Georgia",754299,518775,98130,7170,96303,356,11749,21816,5287,16529,"Congressional District 6 (116th Congress), Georgia",10790,11815,9856,2467,5393,333,4075,3831,2024,3065
"G13007","2018",,,"Georgia","13",,,,,,,,,,,,,"07",,,,,"Congressional District 7 (116th Congress), Georgia",803976,434102,162756,6148,114858,45,60675,25392,3526,21866,"Congressional District 7 (116th Congress), Georgia",17033,12360,12494,3112,6029,77,9389,4150,1267,3923
"G13008","2018",,,"Georgia","13",,,,,,,,,,,,,"08",,,,,"Congressional District 8 (116th Congress), Georgia",714720,446473,224512,2424,13368,103,12973,14867,3600,11267,"Congressional District 8 (116th Congress), Georgia",6522,6091,5701,1397,2499,130,4445,3257,1696,2990
"G13009","2018",,,"Georgia","13",,,,,,,,,,,,,"09",,,,,"Congressional District 9 (116th Congress), Georgia",765320,672568,46909,1485,9854,1947,15476,17081,1156,15925,"Congressional District 9 (116th Congress), Georgia",6205,7191,4110,595,1908,1676,4148,2686,663,2494
"G13010","2018",,,"Georgia","13",,,,,,,,,,,,,"10",,,,,"Congressional District 10 (116th Congress), Georgia",767352,515879,200069,1096,16337,237,17677,16057,942,15115,"Congressional District 10 (116th Congress), Georgia",13064,11308,9944,629,2859,271,5641,3672,628,3612
"G13011","2018",,,"Georgia","13",,,,,,,,,,,,,"11",,,,,"Congressional District 11 (116th Congress), Georgia",781313,570501,130277,1696,29460,1934,24954,22491,3035,19456,"Congressional District 11 (116th Congress), Georgia",12118,10099,7503,957,3787,1792,6150,4048,1187,4224
"G13012","2018",,,"Georgia","13",,,,,,,,,,,,,"12",,,,,"Congressional District 12 (116th Congress), Georgia",723334,417208,252862,789,13873,1279,16403,20920,5076,15844,"Congressional District 12 (116th Congress), Georgia",6201,6663,4959,347,2482,1602,3641,3716,2006,3068
"G13013","2018",,,"Georgia","13",,,,,,,,,,,,,"13",,,,,"Congressional District 13 (116th Congress), Georgia",757521,220074,451182,1201,21403,128,37993,25540,5312,20228,"Congressional District 13 (116th Congress), Georgia",18192,10275,16317,649,4362,213,8978,5211,2589,4477
"G13014","2018",,,"Georgia","13",,,,,,,,,,,,,"14",,,,,"Congressional District 14 (116th Congress), Georgia",722873,620751,67813,2420,4977,91,10493,16328,708,15620,"Congressional District 14 (116th Congress), Georgia",3197,4893,3475,1616,1212,136,3914,3367,600,3330
"G15001","2018",,,"Hawaii","15",,,,,,,,,,,,,"01",,,,,"Congressional District 1 (116th Congress), Hawaii",709286,122457,17088,628,351660,52637,5985,158831,7693,151138,"Congressional District 1 (116th Congress), Hawaii",9744,5842,1964,390,8943,5016,1851,8988,2505,8908
"G15002","2018",,,"Hawaii","15",,,,,,,,,,,,,"02",,,,,"Congressional District 2 (116th Congress), Hawaii",711205,223195,11237,2609,182819,92334,12067,186944,4420,182524,"Congressional District 2 (116th Congress), Hawaii",9744,5666,2022,898,7306,6482,3125,9486,1705,9202
"G16001","2018",,,"Idaho","16",,,,,,,,,,,,,"01",,,,,"Congressional District 1 (116th Congress), Idaho",912950,815218,6900,14043,13943,2030,32623,28193,5936,22257,"Congressional District 1 (116th Congress), Idaho",7168,8942,3603,2119,2542,1267,5920,4204,2255,3754
"G16002","2018",,,"Idaho","16",,,,,,,,,,,,,"02",,,,,"Congressional District 2 (116th Congress), Idaho",841258,761628,5175,8983,13083,733,26594,25062,5137,19925,"Congressional District 2 (116th Congress), Idaho",7168,9478,2039,2184,1967,483,5600,3245,1760,2980
"G17001","2018",,,"Illinois","17",,,,,,,,,,,,,"01",,,,,"Congressional District 1 (116th Congress), Illinois",706550,303613,354097,301,17443,103,19255,11738,4369,7369,"Congressional District 1 (116th Congress), Illinois",18246,10233,15558,263,3490,171,5398,2322,2095,1747
"G17002","2018",,,"Illinois","17",,,,,,,,,,,,,"02",,,,,"Congressional District 2 (116th Congress), Illinois",694459,253856,393578,1139,6314,95,25713,13764,1936,11828,"Congressional District 2 (116th Congress), Illinois",12990,11699,13263,760,2139,158,5069,2345,825,2176
"G17003","2018",,,"Illinois","17",,,,,,,,,,,,,"03",,,,,"Congressional District 3 (116th Congress), Illinois",704050,554906,35460,3459,31306,158,63289,15472,3850,11622,"Congressional District 3 (116th Congress), Illinois",13980,14536,4022,2577,5202,231,9666,3015,1780,2700
"G17004","2018",,,"Illinois","17",,,,,,,,,,,,,"04",,,,,"Congressional District 4 (116th Congress), Illinois",702062,420391,28977,3538,24719,188,204348,19901,8018,11883,"Congressional District 4 (116th Congress), Illinois",14207,15147,4816,1648,3587,182,12290,3321,2183,2229
"G17005","2018",,,"Illinois","17",,,,,,,,,,,,,"05",,,,,"Congressional District 5 (116th Congress), Illinois",743699,594110,22900,1120,63328,187,35743,26311,4459,21852,"Congressional District 5 (116th Congress), Illinois",16300,13677,3963,588,7358,217,5982,4297,1594,3831
"G17006","2018",,,"Illinois","17",,,,,,,,,,,,,"06",,,,,"Congressional District 6 (116th Congress), Illinois",730345,600898,17193,955,72910,64,18100,20225,4513,15712,"Congressional District 6 (116th Congress), Illinois",10985,10618,3460,612,6396,109,5248,3769,2253,3082
"G17007","2018",,,"Illinois","17",,,,,,,,,,,,,"07",,,,,"Congressional District 7 (116th Congress), Illinois",707513,264669,323450,1095,52122,148,48385,17644,2283,15361,"Congressional District 7 (116th Congress), Illinois",16445,10371,14200,729,4995,201,8180,2949,1102,2970
"G17008","2018",,,"Illinois","17",,,,,,,,,,,,,"08",,,,,"Congressional District 8 (116th Congress), Illinois",707268,454580,38308,6590,99254,1736,87930,18870,4679,14191,"Congressional District 8 (116th Congress), Illinois",10987,14135,6562,3008,8635,1648,11970,2911,1588,2204
"G17009","2018",,,"Illinois","17",,,,,,,,,,,,,"09",,,,,"Congressional District 9 (116th Congress), Illinois",721481,507446,68026,1847,95553,771,22005,25833,2377,23456,"Congressional District 9 (116th Congress), Illinois",15297,12496,8204,1387,7032,684,5245,4286,815,4315
"G17010","2018",,,"Illinois","17",,,,,,,,,,,,,"10",,,,,"Congressional District 10 (116th Congress), Illinois",711265,493441,44334,3364,82379,422,67579,19746,4980,14766,"Congressional District 10 (116th Congress), Illinois",7485,11542,3161,1233,6154,492,9164,3350,1538,2724
"G17011","2018",,,"Illinois","17",,,,,,,,,,,,,"11",,,,,"Congressional District 11 (116th Congress), Illinois",722584,496219,76321,3335,58102,418,58508,29681,5238,24443,"Congressional District 11 (116th Congress), Illinois",10156,13220,6525,1240,6356,340,8964,4918,2045,4387
"G17012","2018",,,"Illinois","17",,,,,,,,,,,,,"12",,,,,"Congressional District 12 (116th Congress), Illinois",687072,533450,117582,1329,8924,110,8331,17346,900,16446,"Congressional District 12 (116th Congress), Illinois",3605,4525,3066,559,971,146,1765,2736,557,2816
"G17013","2018",,,"Illinois","17",,,,,,,,,,,,,"13",,,,,"Congressional District 13 (116th Congress), Illinois",704211,570733,77759,1086,31373,0,5983,17277,787,16490,"Congressional District 13 (116th Congress), Illinois",7858,7486,3809,451,1813,190,1627,2696,548,2664
"G17014","2018",,,"Illinois","17",,,,,,,,,,,,,"14",,,,,"Congressional District 14 (116th Congress), Illinois",742235,645869,28485,1023,28809,186,15912,21951,1533,20418,"Congressional District 14 (116th Congress), Illinois",8939,10817,6047,1040,4265,191,4120,4184,812,4193
"G17015","2018",,,"Illinois","17",,,,,,,,,,,,,"15",,,,,"Congressional District 15 (116th Congress), Illinois",691196,639755,31004,1228,3770,282,2998,12159,1333,10826,"Congressional District 15 (116th Congress), Illinois",5707,5413,3183,613,715,300,1134,1915,782,1681
"G17016","2018",,,"Illinois","17",,,,,,,,,,,,,"16",,,,,"Congressional District 16 (116th Congress), Illinois",684888,619708,25648,1341,11044,176,11562,15409,2644,12765,"Congressional District 16 (116th Congress), Illinois",6443,6027,3382,862,1767,216,2317,2338,1030,2104
"G17017","2018",,,"Illinois","17",,,,,,,,,,,,,"17",,,,,"Congressional District 17 (116th Congress), Illinois",679926,553346,80141,1776,10393,245,11838,22187,3546,18641,"Congressional District 17 (116th Congress), Illinois",6737,6882,4805,637,2106,205,2639,3642,1604,3342
"G17018","2018",,,"Illinois","17",,,,,,,,,,,,,"18",,,,,"Congressional District 18 (116th Congress), Illinois",700276,628155,29816,1320,20195,28,5299,15463,682,14781,"Congressional District 18 (116th Congress), Illinois",9229,7229,3652,573,2107,40,1771,2473,456,2371
"G18001","2018",,,"Indiana","18",,,,,,,,,,,,,"01",,,,,"Congressional District 1 (116th Congress), Indiana",714756,492098,130246,1822,9931,405,53964,26290,8770,17520,"Congressional District 1 (116th Congress), Indiana",2410,5010,2569,480,886,290,4455,3928,2420,3336
"G18002","2018",,,"Indiana","18",,,,,,,,,,,,,"02",,,,,"Congressional District 2 (116th Congress), Indiana",723483,616378,49889,2915,9346,504,21096,23355,3602,19753,"Congressional District 2 (116th Congress), Indiana",3644,5285,3058,1099,885,525,5024,3078,1268,2979
"G18003","2018",,,"Indiana","18",,,,,,,,,,,,,"03",,,,,"Congressional District 3 (116th Congress), Indiana",747060,646328,45994,2183,17695,630,12431,21799,2582,19217,"Congressional District 3 (116th Congress), Indiana",2807,3855,3090,669,1615,633,2611,3970,1151,3791
"G18004","2018",,,"Indiana","18",,,,,,,,,,,,,"04",,,,,"Congressional District 4 (116th Congress), Indiana",768025,679224,31603,1826,24154,120,14054,17044,1789,15255,"Congressional District 4 (116th Congress), Indiana",4477,5595,2262,937,1774,152,2999,3257,1169,2934
"G18005","2018",,,"Indiana","18",,,,,,,,,,,,,"05",,,,,"Congressional District 5 (116th Congress), Indiana",784462,651421,67551,1022,31488,466,9337,23177,2599,20578,"Congressional District 5 (116th Congress), Indiana",8778,8326,6821,635,4365,412,3518,3733,1153,3456
"G18006","2018",,,"Indiana","18",,,,,,,,,,,,,"06",,,,,"Congressional District 6 (116th Congress), Indiana",719771,668943,20547,731,12177,317,3867,13189,867,12322,"Congressional District 6 (116th Congress), Indiana",3009,3312,2185,340,1516,377,1035,2532,712,2345
"G18007","2018",,,"Indiana","18",,,,,,,,,,,,,"07",,,,,"Congressional District 7 (116th Congress), Indiana",760466,438167,235061,1900,24608,534,36106,24090,3926,20164,"Congressional District 7 (116th Congress), Indiana",7889,9810,7006,812,3286,497,5704,5004,1886,4678
"G18008","2018",,,"Indiana","18",,,,,,,,,,,,,"08",,,,,"Congressional District 8 (116th Congress), Indiana",718591,659502,34314,407,5948,148,5930,12342,865,11477,"Congressional District 8 (116th Congress), Indiana",2360,3424,1961,326,1362,243,1697,2114,604,2174
"G18009","2018",,,"Indiana","18",,,,,,,,,,,,,"09",,,,,"Congressional District 9 (116th Congress), Indiana",755264,687866,22072,1234,18873,346,5518,19355,1544,17811,"Congressional District 9 (116th Congress), Indiana",4786,5502,2106,820,1758,436,1590,2516,851,2415
"G19001","2018",,,"Iowa","19",,,,,,,,,,,,,"01",,,,,"Congressional District 1 (116th Congress), Iowa",773628,701592,32960,4341,14447,1669,5068,13551,847,12704,"Congressional District 1 (116th Congress), Iowa",1621,2745,2739,899,1127,1164,1692,2709,390,2622
"G19002","2018",,,"Iowa","19",,,,,,,,,,,,,"02",,,,,"Congressional District 2 (116th Congress), Iowa",783983,700399,32975,1578,18719,785,9563,19964,573,19391,"Congressional District 2 (116th Congress), Iowa",1452,3048,2573,625,1974,674,2901,2772,348,2776
"G19003","2018",,,"Iowa","19",,,,,,,,,,,,,"03",,,,,"Congressional District 3 (116th Congress), Iowa",843598,743399,36515,1985,29566,478,9957,21698,1788,19910,"Congressional District 3 (116th Congress), Iowa",1452,4222,2599,567,2014,461,3145,3334,1041,3037
"G19004","2018",,,"Iowa","19",,,,,,,,,,,,,"04",,,,,"Congressional District 4 (116th Congress), Iowa",754936,700709,12687,3590,17239,531,6125,14055,2262,11793,"Congressional District 4 (116th Congress), Iowa",1621,2652,1423,615,1153,398,1327,2268,1276,1797
"G20001","2018",,,"Kansas","20",,,,,,,,,,,,,"01",,,,,"Congressional District 1 (116th Congress), Kansas",698323,622552,22787,3875,11136,533,16097,21343,2783,18560,"Congressional District 1 (116th Congress), Kansas",2077,4220,2156,843,1472,158,2646,2897,1008,2618
"G20002","2018",,,"Kansas","20",,,,,,,,,,,,,"02",,,,,"Congressional District 2 (116th Congress), Kansas",713845,617745,34044,11963,11689,255,7788,30361,1736,28625,"Congressional District 2 (116th Congress), Kansas",2974,3709,2562,1897,914,192,1857,2993,797,3040
"G20003","2018",,,"Kansas","20",,,,,,,,,,,,,"03",,,,,"Congressional District 3 (116th Congress), Kansas",775243,619413,62214,2399,38097,1615,25315,26190,2309,23881,"Congressional District 3 (116th Congress), Kansas",1987,4974,3501,1073,2016,1940,4024,3628,1082,3510
"G20004","2018",,,"Kansas","20",,,,,,,,,,,,,"04",,,,,"Congressional District 4 (116th Congress), Kansas",724099,587113,52096,8592,21522,526,24093,30157,1796,28361,"Congressional District 4 (116th Congress), Kansas",1657,5153,3131,2017,2606,435,5507,4206,859,4078
"G21001","2018",,,"Kentucky","21",,,,,,,,,,,,,"01",,,,,"Congressional District 1 (116th Congress), Kentucky",721124,641142,49665,1301,4625,1714,4621,18056,1202,16854,"Congressional District 1 (116th Congress), Kentucky",3530,4017,2822,691,1171,1379,1179,2551,822,2422
"G21002","2018",,,"Kentucky","21",,,,,,,,,,,,,"02",,,,,"Congressional District 2 (116th Congress), Kentucky",769850,685076,35956,2452,13122,2735,8462,22047,1341,20706,"Congressional District 2 (116th Congress), Kentucky",4606,5001,3154,1240,1329,1998,2469,3108,770,3135
"G21003","2018",,,"Kentucky","21",,,,,,,,,,,,,"03",,,,,"Congressional District 3 (116th Congress), Kentucky",749110,525539,167681,1894,22504,27,12743,18722,1453,17269,"Congressional District 3 (116th Congress), Kentucky",3229,4589,3565,744,1395,45,4241,3510,729,3435
"G21004","2018",,,"Kentucky","21",,,,,,,,,,,,,"04",,,,,"Congressional District 4 (116th Congress), Kentucky",754387,693312,25869,849,8646,213,9340,16158,473,15685,"Congressional District 4 (116th Congress), Kentucky",4730,5476,2927,482,1439,217,2274,2676,364,2699
"G21005","2018",,,"Kentucky","21",,,,,,,,,,,,,"05",,,,,"Congressional District 5 (116th Congress), Kentucky",695105,674403,8772,982,1749,150,2106,6943,456,6487,"Congressional District 5 (116th Congress), Kentucky",4679,4973,1620,726,635,186,966,1311,376,1247
"G21006","2018",,,"Kentucky","21",,,,,,,,,,,,,"06",,,,,"Congressional District 6 (116th Congress), Kentucky",778826,655551,66818,992,14654,104,14615,26092,3767,22325,"Congressional District 6 (116th Congress), Kentucky",5709,6990,2702,647,1281,157,2740,3242,1371,2911
"G22001","2018",,,"Louisiana","22",,,,,,,,,,,,,"01",,,,,"Congressional District 1 (116th Congress), Louisiana",806638,634048,112895,10809,20878,173,9225,18610,1929,16681,"Congressional District 1 (116th Congress), Louisiana",9120,9449,6560,2678,2295,173,2615,3395,903,3271
"G22002","2018",,,"Louisiana","22",,,,,,,,,,,,,"02",,,,,"Congressional District 2 (116th Congress), Louisiana",794121,247841,491080,1885,16320,111,21215,15669,2219,13450,"Congressional District 2 (116th Congress), Louisiana",10924,8442,12053,955,2034,164,5573,3598,1037,3359
"G22003","2018",,,"Louisiana","22",,,,,,,,,,,,,"03",,,,,"Congressional District 3 (116th Congress), Louisiana",783545,551911,197823,2586,10513,0,4487,16225,736,15489,"Congressional District 3 (116th Congress), Louisiana",2185,2766,2825,1002,1034,217,1532,3205,702,3187
"G22004","2018",,,"Louisiana","22",,,,,,,,,,,,,"04",,,,,"Congressional District 4 (116th Congress), Louisiana",747314,448036,257496,5155,7916,538,11046,17127,1900,15227,"Congressional District 4 (116th Congress), Louisiana",3598,3723,4016,1006,865,630,2369,2819,892,2673
"G22005","2018",,,"Louisiana","22",,,,,,,,,,,,,"05",,,,,"Congressional District 5 (116th Congress), Louisiana",738249,448097,262847,2490,5278,135,5750,13652,766,12886,"Congressional District 5 (116th Congress), Louisiana",5791,5735,6961,831,1589,146,2134,3259,769,3055
"G22006","2018",,,"Louisiana","22",,,,,,,,,,,,,"06",,,,,"Congressional District 6 (116th Congress), Louisiana",790111,547182,187266,2732,15350,176,13643,23762,1332,22430,"Congressional District 6 (116th Congress), Louisiana",10127,7351,11053,1236,1614,331,3590,3956,804,3949
"G23001","2018",,,"Maine","23",,,,,,,,,,,,,"01",,,,,"Congressional District 1 (116th Congress), Maine",685535,642636,11986,1909,11378,444,2476,14706,914,13792,"Congressional District 1 (116th Congress), Maine",3624,4029,1407,1077,1192,455,1119,2382,504,2316
"G23002","2018",,,"Maine","23",,,,,,,,,,,,,"02",,,,,"Congressional District 2 (116th Congress), Maine",652869,618817,6968,6657,4305,21,788,15313,1155,14158,"Congressional District 2 (116th Congress), Maine",3624,3855,1284,597,840,26,462,1842,904,1625
"G24001","2018",,,"Maryland","24",,,,,,,,,,,,,"01",,,,,"Congressional District 1 (116th Congress), Maryland",741621,604948,91106,996,15601,260,9267,19443,1515,17928,"Congressional District 1 (116th Congress), Maryland",7408,7982,5478,505,2152,327,2608,3125,652,3127
"G24002","2018",,,"Maryland","24",,,,,,,,,,,,,"02",,,,,"Congressional District 2 (116th Congress), Maryland",768511,405867,272284,1475,41651,440,15739,31055,2394,28661,"Congressional District 2 (116th Congress), Maryland",15193,9328,13744,772,3913,498,4499,4826,1028,4890
"G24003","2018",,,"Maryland","24",,,,,,,,,,,,,"03",,,,,"Congressional District 3 (116th Congress), Maryland",754636,465062,173443,2041,57822,174,28615,27479,3420,24059,"Congressional District 3 (116th Congress), Maryland",17601,11704,15202,789,5923,235,6298,4070,1699,3893
"G24004","2018",,,"Maryland","24",,,,,,,,,,,,,"04",,,,,"Congressional District 4 (116th Congress), Maryland",760398,211823,397886,1055,24360,187,98434,26653,3135,23518,"Congressional District 4 (116th Congress), Maryland",14575,8823,11383,766,3059,198,7973,4897,1393,4728
"G24005","2018",,,"Maryland","24",,,,,,,,,,,,,"05",,,,,"Congressional District 5 (116th Congress), Maryland",757621,358663,294783,2690,32124,0,40980,28381,2053,26328,"Congressional District 5 (116th Congress), Maryland",11974,7201,10475,1033,2103,206,7145,4055,1136,3965
"G24006","2018",,,"Maryland","24",,,,,,,,,,,,,"06",,,,,"Congressional District 6 (116th Congress), Maryland",758943,504729,103706,1618,81520,1162,34577,31631,3096,28535,"Congressional District 6 (116th Congress), Maryland",11683,10972,8285,748,5273,937,7493,4233,1416,3870
