GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,AIUXE001,AIUXE002,AIUXE003,AIUXE004,AIUXE005,AIUXE006,AIUXE007,AIUXE008,AIUXE009,AIUXE010,NAME_M,AIUXM001,AIUXM002,AIUXM003,AIUXM004,AIUXM005,AIUXM006,AIUXM007,AIUXM008,AIUXM009,AIUXM010
"G06001","2018",,,"California","06",,,,,,,,,,,,,"01",,,,,"Congressional District 1 (116th Congress), California",711282,605294,12691,11320,19443,882,24748,36904,3769,33135,"Congressional District 1 (116th Congress), California",5829,6960,1599,1848,2139,641,3815,4101,1296,3681
"G06002","2018",,,"California","06",,,,,,,,,,,,,"02",,,,,"Congressional District 2 (116th Congress), California",722370,575564,11236,15063,31398,1003,49361,38745,5520,33225,"Congressional District 2 (116th Congress), California",5560,8903,1806,2032,2264,404,7653,4229,2123,3661
"G06003","2018",,,"California","06",,,,,,,,,,,,,"03",,,,,"Congressional District 3 (116th Congress), California",748104,512748,42954,8233,87457,7200,40541,48971,5567,43404,"Congressional District 3 (116th Congress), California",6290,8014,3515,2103,5487,2111,5207,4256,1574,4290
"G06004","2018",,,"California","06",,,,,,,,,,,,,"04",,,,,"Congressional District 4 (116th Congress), California",754525,636599,10014,4749,43292,1624,21489,36758,3402,33356,"Congressional District 4 (116th Congress), California",7273,8335,1540,1291,2593,893,4638,3743,1266,3420
"G06005","2018",,,"California","06",,,,,,,,,,,,,"05",,,,,"Congressional District 5 (116th Congress), California",730955,453797,47271,5791,83384,2829,98453,39430,8527,30903,"Congressional District 5 (116th Congress), California",8907,13204,5049,2063,5271,1330,9357,4707,2113,3679
"G06006","2018",,,"California","06",,,,,,,,,,,,,"06",,,,,"Congressional District 6 (116th Congress), California",777985,386232,99593,5130,128292,11778,85618,61342,9033,52309,"Congressional District 6 (116th Congress), California",11689,12805,7133,1869,8018,2296,10293,5808,2230,5896
"G06007","2018",,,"California","06",,,,,,,,,,,,,"07",,,,,"Congressional District 7 (116th Congress), California",753640,474784,55737,6801,120343,6811,32841,56323,7673,48650,"Congressional District 7 (116th Congress), California",10495,12249,5763,2705,6996,1987,5187,6486,2381,6037
"G06008","2018",,,"California","06",,,,,,,,,,,,,"08",,,,,"Congressional District 8 (116th Congress), California",717107,535884,61955,12982,23511,2262,47100,33413,4472,28941,"Congressional District 8 (116th Congress), California",10856,14494,8345,3447,5063,1389,6350,5592,1374,5481
"G06009","2018",,,"California","06",,,,,,,,,,,,,"09",,,,,"Congressional District 9 (116th Congress), California",775148,439731,69964,5821,116574,3279,55875,83904,10651,73253,"Congressional District 9 (116th Congress), California",7213,11968,5989,2172,7221,1127,7738,8714,2884,8195
"G06010","2018",,,"California","06",,,,,,,,,,,,,"10",,,,,"Congressional District 10 (116th Congress), California",761485,573461,24578,6704,54882,5838,51190,44832,7166,37666,"Congressional District 10 (116th Congress), California",4897,9361,2977,1392,5234,969,7391,5495,2632,4822
